Category,Genres,Director,Vote_Count,Popularity,Winner
7,88,282,104,8.752,True
1,77,431,272,15.924,False
3,23,599,540,12.84,False
3,83,479,10234,85.728,True
8,95,268,45,5.376,False
8,225,378,1423,18.066,False
5,131,606,1,0.938,False
4,218,145,14584,61.749,False
4,73,64,1469,10.504,False
4,212,208,116,5.851,True
4,74,150,12224,63.155,False
6,74,150,1615,15.078,False
6,76,496,1830,19.864,False
8,94,143,570,12.949,False
6,222,218,1446,17.285,False
1,74,694,3237,30.243,True
4,102,525,955,19.833,False
6,95,579,13610,63.654,False
6,203,36,7032,50.911,False
0,225,121,4463,33.411,False
8,95,239,351,9.277,False
5,88,764,577,8.866,False
2,70,680,7558,20.806,True
4,203,205,96,8.146,True
1,81,372,6408,50.858,True
3,3,13,18212,74.069,True
5,134,430,199,8.481,False
8,155,614,2231,18.511,False
0,95,679,2510,13.897,False
3,193,218,168,11.392,False
4,97,278,245,11.771,False
4,134,364,106,7.261,True
7,223,276,144,9.702,True
2,102,618,22,1.146,False
1,175,208,22,1.909,False
0,149,256,81,60.818,False
7,19,116,33326,146.942,True
3,34,99,9,2.969,False
6,29,241,395,13.442,False
7,149,557,695,15.568,True
6,76,695,4601,24.168,False
8,80,597,195,11.001,False
0,80,483,38,5.607,False
3,19,116,33326,146.942,False
3,56,734,5652,77.941,False
2,196,199,1513,17.224,False
6,3,36,3233,25.413,False
4,79,641,10276,47.709,True
3,2,74,323,11.415,False
8,217,145,3660,13.012,False
1,134,129,320,12.381,False
4,178,538,42,6.142,False
4,149,659,38,3.768,False
4,223,218,69,8.859,False
0,165,757,83,4.935,False
5,140,91,10497,62.334,True
6,103,2,8372,33.072,False
7,76,667,1538,20.633,False
0,102,326,3657,20.442,False
0,95,569,11427,63.938,False
2,102,18,1678,14.357,True
6,51,485,30,2.773,False
7,19,760,1870,20.239,False
3,178,272,14,3.429,False
0,77,640,9306,64.795,True
4,140,134,5004,25.665,False
5,3,121,2076,29.493,False
5,76,667,1538,20.633,False
6,149,488,346,18.537,False
6,212,42,2201,21.558,True
1,77,408,54,5.273,False
0,71,592,1090,18.98,False
7,3,13,18212,74.069,False
1,203,704,25,2.959,False
5,102,632,13162,55.887,False
5,214,675,1767,18.046,True
6,76,695,3795,20.876,False
5,53,127,93,9.815,False
6,149,703,8388,57.814,False
0,203,36,7032,50.911,False
5,177,716,25,63.916,False
7,30,440,19,2.278,False
2,76,59,8314,27.233,True
1,76,374,177,8.959,False
8,198,460,11837,56.742,False
4,3,754,73,8.702,False
2,44,290,466,20.441,False
3,212,491,5511,31.099,False
8,149,581,182,8.603,False
1,203,547,174,8.769,True
8,149,187,44,5.277,False
3,134,200,7486,47.008,False
8,51,364,158,8.512,False
4,139,628,1892,18.88,True
7,35,401,187,7.98,True
1,212,268,188,10.433,True
2,74,487,590,13.514,False
5,220,315,461,13.199,False
5,149,50,1756,17.961,False
6,95,430,597,13.629,False
1,95,320,762,14.768,False
0,225,474,312,14.328,False
1,124,594,44,2.75,False
1,142,350,8157,30.898,True
8,90,557,726,10.91,False
2,95,711,1422,9.272,False
3,203,391,142,6.316,False
7,168,72,2620,24.252,False
6,203,673,69,7.088,False
5,142,155,4486,21.909,False
4,76,508,324,14.317,False
6,77,705,2001,18.529,False
1,152,764,350,10.602,False
8,149,467,74,8.139,False
3,221,410,5649,28.98,False
3,142,263,2955,22.883,False
0,149,174,17,2.234,False
0,177,191,156,6.887,False
5,125,300,756,11.462,False
4,74,77,263,9.717,False
2,134,675,158,8.808,False
5,149,18,1769,14.728,False
3,163,617,4968,45.113,False
7,166,564,4633,51.075,False
1,203,762,249,9.002,True
4,149,18,1769,14.728,False
1,95,278,23,3.84,False
3,193,745,9,2.019,False
0,77,370,98,7.26,False
6,156,231,1313,19.164,True
0,142,247,42,4.173,False
1,76,104,117,12.635,False
0,95,439,182,8.37,False
4,149,467,74,8.139,False
2,149,550,6703,40.07,False
6,102,740,205,10.24,False
6,203,585,320,9.481,False
5,102,332,37,3.618,False
2,74,554,2567,35.718,False
4,71,2,3355,13.559,False
3,3,762,2795,57.206,True
5,210,569,1701,19.852,True
2,142,192,12146,78.758,True
5,177,695,6848,21.181,False
1,191,83,11704,38.213,False
5,102,131,1843,23.466,False
7,46,564,25533,167.562,False
6,46,63,1060,12.625,False
5,44,259,69,7.538,False
7,74,334,8505,24.949,True
0,95,473,2820,23.945,False
0,178,697,26,2.581,False
0,76,592,2309,18.461,True
7,95,473,2820,23.945,False
0,77,58,3466,48.142,False
7,73,475,6878,41.875,False
4,99,136,17022,95.59,True
7,143,482,40,3.274,True
8,95,382,1489,11.363,False
5,90,614,56,3.535,False
0,141,517,749,12.99,False
8,186,482,244,11.208,False
3,233,266,30,1.899,False
8,203,762,172,7.913,False
0,76,264,2213,9.935,True
5,203,522,6978,34.042,False
2,46,36,13126,44.533,False
6,3,301,787,21.941,False
7,102,448,1489,11.506,False
6,76,592,2309,18.461,True
0,76,186,215,10.495,False
8,203,210,39,3.322,False
3,78,282,64,5.407,False
3,3,99,51,8.059,False
2,95,88,62,4.813,False
0,76,24,415,88.528,False
6,98,374,3005,20.851,True
7,46,206,221,13.524,False
6,55,416,4272,43.628,True
4,95,198,1111,11.385,False
6,203,100,1790,41.342,False
3,116,106,89,6.485,False
3,44,380,144,9.145,False
3,121,242,46,4.881,False
8,149,509,163,8.677,False
5,149,271,5,1.292,False
3,76,65,1711,23.141,True
3,212,117,21,4.681,False
7,178,538,42,6.142,False
7,125,659,57,5.627,False
4,149,654,1281,16.878,False
7,149,508,834,18.296,False
4,149,186,88,6.346,False
8,140,675,1425,29.234,True
6,212,218,637,10.635,True
7,149,315,108,7.966,True
4,102,550,2271,23.647,False
3,217,56,595,13.269,False
7,76,695,16099,108.119,False
3,203,276,2,2.23,False
1,223,741,536,9.462,True
7,74,475,5372,27.62,False
4,156,96,432,17.263,True
3,3,609,19291,148.769,False
6,54,275,44,4.742,False
7,71,2,3355,13.559,False
7,149,550,3171,24.708,False
4,149,186,1366,18.206,False
4,193,108,54,5.323,False
3,102,364,535,15.559,True
2,203,428,3293,15.065,False
3,156,242,73,6.676,False
3,149,84,115,191.374,False
4,102,72,2353,22.928,True
6,136,491,400,9.745,False
0,76,218,440,10.687,True
4,191,491,27,4.252,False
0,153,206,4419,38.366,False
6,225,121,4463,33.411,True
1,177,302,6315,39.728,False
2,71,499,1145,11.305,False
1,149,90,35,4.376,False
8,95,278,23,3.84,False
8,149,471,74,6.368,False
6,149,656,12137,33.125,True
3,203,621,146,11.761,False
5,167,263,10615,62.826,False
7,134,159,7290,25.863,False
3,76,212,70,9.628,False
3,172,394,211,10.595,False
6,196,21,1777,21.161,True
4,141,452,271,10.171,False
3,202,509,10569,40.769,False
3,158,117,109,7.2,False
6,157,659,32,3.639,False
2,149,662,223,10.742,False
8,203,740,255,8.304,True
7,75,491,206,8.923,False
1,79,276,111,9.235,True
3,9,380,165,8.928,False
5,138,675,311,11.025,False
7,80,700,1379,15.998,False
1,81,345,460,12.95,False
8,217,370,159,10.291,False
1,77,487,257,11.622,True
0,222,218,1446,17.285,True
3,140,85,1110,16.063,False
7,55,364,1121,23.577,True
8,152,764,350,10.602,False
5,102,525,955,19.833,True
3,8,316,13062,79.001,False
7,142,339,73,7.446,False
0,76,394,754,29.747,False
6,5,316,31823,135.26,False
1,194,375,1712,15.677,False
0,51,370,961,15.322,True
6,203,231,30,6.902,False
6,149,557,695,15.568,False
6,109,625,4704,36.351,False
2,196,685,3129,41.677,False
7,19,148,3282,28.079,False
6,48,638,1414,18.44,False
8,186,482,244,11.208,False
8,88,0,41,3.532,False
4,113,15,105,6.696,False
3,80,482,31,3.934,False
0,149,329,67,6.055,False
4,48,638,1414,18.44,False
1,74,328,2999,19.243,False
8,149,394,1550,17.733,False
3,30,768,133,10.554,False
4,225,245,698,18.873,True
7,75,464,1623,16.172,False
3,203,54,279,16.814,False
8,218,3,1515,24.66,False
0,149,364,992,14.812,False
8,149,84,115,191.374,False
1,76,83,732,14.773,False
1,80,338,922,7.099,False
6,99,435,176,7.68,True
5,142,137,10867,54.343,False
7,102,159,12028,38.389,False
1,102,72,2353,22.928,False
4,223,490,3843,29.017,True
8,149,329,67,6.055,False
7,95,679,2510,13.897,True
7,126,240,89,15.659,False
1,80,597,195,11.001,False
5,90,591,12570,91.687,False
6,149,432,1624,21.006,False
6,78,745,378,13.03,False
7,156,525,574,19.049,False
3,74,77,263,9.717,False
0,223,373,48,8.837,False
3,178,181,4007,67.757,True
7,203,527,69,5.114,False
0,149,84,115,191.374,False
3,212,218,637,10.635,True
4,76,496,1830,19.864,False
1,76,128,389,10.367,False
0,218,631,6019,28.326,False
4,113,748,405,9.478,False
7,177,1,3054,24.447,False
0,73,675,1943,18.841,False
4,23,609,5788,53.98,False
0,198,724,2651,23.59,False
7,203,47,691,16.593,False
1,188,240,81,7.219,True
7,76,667,1538,20.633,True
0,75,491,206,8.923,True
7,76,121,4121,18.02,False
6,223,490,3843,29.017,True
8,71,131,5845,23.399,True
3,149,292,784,11.734,True
4,161,198,2305,16.526,False
3,4,768,102,8.705,False
3,125,245,53,5.4,False
6,212,153,1155,28.637,False
3,77,268,73,5.501,True
0,71,519,238,11.753,False
7,102,267,36,9.031,False
8,183,624,249,8.47,False
6,227,384,1608,675.246,False
6,77,58,3466,48.142,False
1,203,672,18,3.999,False
5,102,611,4142,34.3,False
8,74,328,2999,19.243,False
8,48,659,190,11.123,True
0,168,623,219,9.18,True
6,102,206,365,12.194,False
5,74,531,113,11.275,False
1,43,609,3448,34.597,False
5,149,186,88,6.346,False
8,203,635,471,12.836,False
0,76,638,744,19.827,False
4,74,344,927,14.668,False
7,102,320,412,10.676,False
7,103,641,1290,14.807,True
0,102,320,3800,24.545,True
0,102,474,66,5.487,False
3,149,524,3,0.263,False
0,140,725,1754,17.071,False
0,95,678,7396,34.199,False
8,140,725,1754,17.071,True
3,31,451,4,1.958,False
4,217,623,980,13.18,False
6,102,513,110,8.041,False
3,91,610,2633,19.547,False
7,76,692,11319,42.437,False
6,203,205,96,8.146,False
6,193,273,141,7.572,True
4,149,281,2,1.057,False
8,77,370,98,7.26,False
4,202,292,114,8.735,False
7,156,231,1313,19.164,False
3,76,286,208,11.444,False
4,106,444,136,7.952,False
3,230,760,8031,69.708,False
0,95,88,1600,22.027,False
3,194,536,5571,29.191,False
8,203,762,129,6.578,False
2,90,312,1103,307.828,False
6,80,700,1379,15.998,True
3,83,218,306,13.091,False
3,142,720,26061,81.386,False
8,77,745,15,2.873,False
3,193,511,9,1.616,False
3,203,25,15,3.259,False
6,149,570,68,6.115,False
8,13,159,4376,25.258,False
7,71,203,389,14.409,False
3,85,279,10,1.274,False
1,71,762,396,8.883,True
7,95,239,351,9.277,False
8,101,613,1108,14.576,False
4,149,330,58,4.402,False
2,73,64,1469,10.504,False
0,80,402,274,10.035,False
1,36,175,472,10.487,False
7,203,631,27783,127.926,False
8,134,621,2631,29.384,False
5,231,390,17603,59.653,True
3,203,627,52,3.898,False
3,29,369,942,23.678,True
3,170,373,240,8.469,True
6,142,405,2611,52.118,False
1,136,72,1820,20.05,False
2,210,186,123,8.676,False
5,203,463,417,10.948,False
8,212,469,21,3.078,False
1,192,629,130,11.766,True
5,57,695,11269,50.319,False
6,102,435,111,6.178,False
7,78,627,223,5.793,False
4,83,533,1703,16.82,True
4,134,717,1354,23.091,False
6,140,72,1432,17.546,False
2,134,203,12647,112.575,True
1,203,305,126,5.605,True
4,95,683,847,13.567,False
3,80,484,412,15.645,False
8,76,7,1832,16.011,False
5,125,526,19,1.967,True
6,203,78,523,8.208,False
6,3,165,6170,225.798,False
7,212,762,257,9.775,False
7,70,475,24247,122.523,False
8,97,278,621,10.329,True
0,149,432,1624,21.006,False
5,149,292,1651,17.489,False
8,102,700,1758,19.344,False
4,203,756,215,10.826,False
8,102,508,185,10.849,False
6,218,79,18581,109.921,True
8,76,533,368,10.469,False
6,102,320,3800,24.545,False
2,76,638,744,19.827,False
8,125,185,89,6.798,False
0,134,159,7290,25.863,False
5,203,705,1110,27.901,False
1,102,766,4420,77.457,True
5,9,644,791,13.336,True
4,203,419,174,8.506,False
3,78,745,378,13.03,False
5,189,9,464,13.236,False
3,212,733,4061,44.075,True
4,134,579,28256,120.342,False
6,95,88,1600,22.027,True
5,95,569,18559,70.686,False
2,178,4,250,8.272,False
6,21,393,9505,183.215,False
7,212,268,188,10.433,False
5,187,358,195,10.38,False
0,77,91,16951,49.995,True
3,121,191,33,2.989,False
6,149,18,1769,14.728,False
1,76,695,4601,24.168,False
2,95,88,1600,22.027,True
3,218,145,14584,61.749,False
3,77,404,14,2.075,True
5,76,709,2873,24.096,False
0,136,482,209,7.657,False
8,80,414,1504,17.871,False
3,113,758,42,5.864,True
0,225,752,129,9.768,False
3,203,736,33,5.187,False
5,149,344,347,5.795,False
1,77,534,1615,12.547,True
2,73,9,1713,21.146,True
3,83,212,1102,13.725,False
1,80,87,30,4.726,False
7,142,59,5089,62.012,False
3,30,538,141,10.816,False
1,149,435,137,6.132,False
0,168,72,2620,24.252,False
7,3,364,46,6.271,False
4,118,737,15,4.232,False
3,125,337,11612,56.549,False
6,54,579,22494,77.935,False
6,75,245,352,20.527,False
3,76,230,990,15.145,False
3,203,117,49,5.087,False
6,102,373,83,6.308,False
7,149,394,1550,17.733,True
4,142,694,2171,18.628,True
7,102,506,1043,9.326,True
4,199,203,8322,61.249,False
4,73,475,6878,41.875,False
1,203,705,1110,27.901,False
0,74,178,314,9.356,False
6,74,757,139,13.25,True
4,202,509,10569,40.769,True
3,51,205,28,7.093,False
8,203,475,1110,17.949,False
5,170,21,1613,17.514,False
1,149,394,1550,17.733,False
0,149,419,27,6.111,False
6,175,309,67,7.4,False
5,3,609,19291,148.769,False
8,125,173,229,7.947,True
3,77,509,4279,28.892,False
3,27,353,1912,24.756,False
3,149,622,1081,17.79,True
1,77,745,15,2.873,False
3,102,513,110,8.041,False
0,134,203,12647,112.575,False
3,45,215,125,7.864,False
4,222,218,1446,17.285,False
7,95,473,2820,23.945,False
8,79,276,111,9.235,False
7,170,21,1613,17.514,False
8,102,764,3441,14.023,False
1,203,197,812,11.922,True
4,203,428,1168,17.956,False
1,136,359,72,8.562,False
6,194,202,3231,32.04,False
5,95,192,2109,14.046,False
1,141,179,24,2.999,True
1,203,673,69,7.088,True
3,76,670,1393,23.972,False
0,156,525,574,19.049,False
1,170,359,126,6.073,False
6,101,613,1108,14.576,False
8,13,159,4376,25.258,True
0,73,344,1764,16.69,False
6,142,683,272,9.838,False
0,210,575,301,10.095,False
3,90,239,2636,19.918,False
2,203,115,11,3.285,False
6,212,398,129,9.755,False
3,131,525,251,14.315,False
3,193,742,5,1.786,False
3,203,392,13,1.432,False
1,149,356,605,11.151,False
6,51,218,52,5.249,False
2,149,431,1634,20.957,True
6,23,116,16583,56.122,False
3,149,656,12137,33.125,True
4,74,694,3237,30.243,False
1,203,756,215,10.826,False
5,95,385,7173,22.103,True
6,77,509,4279,28.892,True
5,2,559,1909,18.674,False
4,19,760,1870,20.239,True
0,95,541,96,9.084,False
6,140,525,1089,21.142,True
0,142,720,26061,81.386,True
1,203,296,204,11.169,False
7,149,665,2773,22.129,False
3,193,58,4544,26.594,False
6,217,121,9657,31.65,True
1,74,540,1649,16.657,False
6,56,734,5652,77.941,False
8,203,537,428,9.635,False
3,203,304,35,2.154,True
7,149,186,1366,18.206,True
2,96,112,2902,30.399,False
0,149,429,263,11.006,True
4,149,475,1072,20.608,False
3,142,656,3661,20.302,True
6,157,474,49,6.958,False
3,55,365,435,22.718,False
4,76,622,909,12.375,False
5,95,18,1835,38.413,False
6,74,150,12224,63.155,False
7,157,186,94,8.636,True
4,203,304,35,2.154,False
5,142,683,272,9.838,True
0,165,150,12884,57.761,False
8,149,468,467,10.897,False
7,88,245,81,9.014,True
5,194,536,5571,29.191,True
6,71,762,396,8.883,False
1,74,174,14,2.111,False
0,5,254,20831,147.701,False
4,99,235,1443,26.321,False
3,136,72,1820,20.05,False
6,102,632,13162,55.887,False
4,177,533,2132,26.106,False
7,202,509,10569,40.769,False
3,19,165,8697,62.776,False
6,121,233,72,4.194,False
8,139,628,1892,18.88,True
5,88,578,71,3.941,True
8,136,762,126,7.502,False
0,156,96,432,17.263,False
6,76,59,8314,27.233,True
4,203,391,142,6.316,False
5,196,423,1406,23.987,False
4,241,413,111,13.517,False
1,136,132,80,6.57,False
5,102,213,597,10.269,False
0,95,268,370,14.801,False
6,48,381,347,15.019,False
0,203,683,89,7.131,False
4,96,528,21,3.336,True
3,212,42,2201,21.558,True
7,187,358,195,10.38,False
1,88,478,44,3.886,False
1,80,255,110,6.593,False
1,142,358,231,9.776,False
7,198,460,11837,56.742,False
8,192,68,1008,23.165,True
8,125,231,874,17.737,False
7,142,378,1091,16.976,False
8,81,345,460,12.95,False
0,149,427,16,2.551,False
6,54,153,2120,22.907,True
8,203,173,285,9.873,False
1,95,702,390,10.958,False
3,203,511,42,2.6,False
2,203,719,3723,26.714,False
7,142,192,12146,78.758,True
8,39,727,216,10.236,False
1,203,419,83,4.982,False
0,149,752,14,2.075,False
0,102,502,3270,20.394,True
4,3,569,3187,30.397,False
3,125,529,35,2.898,False
0,217,475,1366,23.863,True
8,216,695,4247,35.512,False
6,189,276,27,3.521,False
4,136,370,482,11.127,False
7,178,683,804,29.569,False
6,203,439,207,7.867,False
3,102,502,3270,20.394,False
5,101,613,1108,14.576,True
7,149,467,74,8.139,False
0,74,380,7,0.756,False
1,102,508,962,15.978,False
6,203,378,130,9.304,False
3,154,276,61,6.066,False
1,175,728,10,0.815,False
3,51,586,1844,36.201,False
2,90,591,5677,46.968,False
3,34,573,879,14.014,False
3,37,598,180,12.13,False
5,189,77,513,12.554,False
0,73,64,1469,10.504,True
3,141,142,10632,30.729,True
5,121,239,173,10.368,False
3,203,245,388,9.175,True
3,48,638,1414,18.44,True
7,209,147,11,1.35,True
0,108,745,43,3.988,False
3,76,517,471,13.112,False
6,96,528,21,3.336,False
4,168,72,2620,24.252,False
3,191,552,1476,12.383,False
5,178,633,129,8.12,False
6,76,722,8744,32.733,True
3,73,30,2516,24.655,False
8,81,589,2525,23.555,False
3,134,621,2631,29.384,False
1,215,459,124,9.025,False
6,149,56,6416,29.176,True
6,95,206,1064,13.293,False
3,196,278,43,5.688,False
4,216,19,15410,39.033,True
3,76,245,186,20.65,False
6,90,239,2636,19.918,True
6,74,77,263,9.717,False
1,102,210,37,3.972,False
8,76,695,3795,20.876,False
5,103,2,8372,33.072,False
4,193,273,141,7.572,False
6,90,440,68,9.376,False
6,134,203,20958,176.205,True
7,95,683,847,13.567,False
8,76,692,11319,42.437,True
2,198,181,1064,255.206,False
3,149,552,975,7.72,False
6,76,695,16099,108.119,True
3,203,627,39,3.66,False
8,71,519,238,11.753,False
4,3,609,19291,148.769,False
3,216,695,4247,35.512,True
0,202,509,10569,40.769,True
7,102,295,4,1.359,False
3,191,3,1478,22.342,False
7,83,218,147,10.047,False
4,203,378,130,9.304,False
4,102,394,157,6.812,True
0,74,68,363,7.834,False
6,106,101,3404,25.272,False
7,199,203,8322,61.249,False
0,156,231,1313,19.164,True
5,95,13,12870,35.672,True
0,203,78,523,8.208,False
6,193,58,4544,26.594,False
3,29,241,395,13.442,False
1,203,658,27,4.155,True
8,79,276,111,9.235,False
6,34,573,879,14.014,False
6,177,1,3054,24.447,False
6,218,434,9229,19.668,False
0,76,722,8744,32.733,True
6,203,180,141,5.28,False
3,226,438,207,7.311,False
4,75,491,206,8.923,False
6,134,482,38,2.964,False
0,12,49,1630,23.922,False
3,175,208,22,1.909,False
0,77,693,114,8.417,False
5,131,289,382,10.805,False
7,149,80,7,0.997,False
3,196,21,1777,21.161,True
6,12,49,1630,23.922,False
6,134,675,8835,78.749,False
2,75,462,3557,18.759,False
7,93,180,30,3.16,False
4,90,239,2636,19.918,True
6,208,679,14348,46.642,False
2,193,282,93,5.437,False
4,149,364,992,14.812,True
4,136,762,216,13.914,False
2,76,128,389,10.367,True
8,196,258,22,4.006,False
6,203,205,31,2.302,False
6,203,762,271,15.843,False
3,212,266,14,2.146,False
6,149,274,300,14.438,False
8,149,163,11,1.833,False
4,149,329,67,6.055,False
3,51,736,17,1.606,False
4,95,320,762,14.768,True
2,48,153,291,18.319,False
0,117,232,11,1.432,False
3,155,614,2231,18.511,False
2,203,686,1167,19.549,True
1,149,703,8388,57.814,False
0,102,632,13162,55.887,True
3,136,45,37,3.624,False
1,76,746,227,90.321,False
5,125,764,309,10.212,False
7,149,614,163,8.851,False
8,99,466,187,8.09,False
8,149,145,3991,45.377,False
1,95,508,271,8.627,False
2,102,430,232,12.72,False
