Winner,Popularity,Vote_Average,IMDb_Rating
True,14.4,7.0,7.3
False,14.4,7.0,7.3
False,14.4,7.0,7.3
False,14.4,7.0,7.3
True,4.2,6.5,6.9
False,4.2,6.5,6.9
False,4.2,6.5,6.9
True,11.3,6.8,7.1
False,91.7,7.8,7.9
False,3.9,6.5,6.6
True,18.5,7.6,7.8
False,18.5,7.6,7.8
False,18.5,7.6,7.8
True,18.5,7.6,7.8
False,18.5,7.6,7.8
True,18.5,7.6,7.8
True,18.5,7.6,7.8
True,18.5,7.6,7.8
False,11.6,6.8,7.0
True,25.7,7.8,8.2
False,25.7,7.8,8.2
False,25.7,7.8,8.2
False,25.7,7.8,8.2
True,25.7,7.8,8.2
False,8.2,6.8,7.2
False,8.2,6.8,7.2
False,15.8,8.1,8.0
False,15.8,8.1,8.0
False,3.7,6.3,7.5
False,95.6,7.9,8.0
True,95.6,7.9,8.0
True,95.6,7.9,8.0
True,95.6,7.9,8.0
False,95.6,7.9,8.0
False,95.6,7.9,8.0
False,10.9,7.9,8.0
True,12.5,7.4,7.5
False,29.4,7.3,7.4
False,29.4,7.3,7.4
False,29.4,7.3,7.4
False,29.4,7.3,7.4
False,29.4,7.3,7.4
False,5.9,7.1,7.4
False,5.9,7.1,7.4
False,5.9,7.1,7.4
False,1.6,4.7,5.9
False,2.0,6.1,6.1
False,4.1,6.9,7.1
False,23.5,7.2,7.3
False,7.9,6.6,7.1
False,3.3,6.4,7.0
False,68.9,6.9,7.0
False,68.9,6.9,7.0
False,11.4,7.4,7.8
False,13.4,7.6,7.9
True,13.4,7.6,7.9
False,13.4,7.6,7.9
False,31.1,8.0,8.3
False,31.1,8.0,8.3
True,31.1,8.0,8.3
True,31.1,8.0,8.3
True,31.1,8.0,8.3
False,8.5,7.4,7.6
True,8.5,7.4,7.6
True,21.1,7.3,7.5
False,21.1,7.3,7.5
False,21.1,7.3,7.5
False,21.1,7.3,7.5
True,32.5,7.4,7.5
False,9.7,7.2,7.5
False,9.7,7.2,7.5
False,9.7,7.2,7.5
False,9.7,7.2,7.5
False,9.7,7.2,7.5
False,9.7,7.2,7.5
False,5.4,7.2,7.6
False,5.4,7.2,7.6
False,35.8,7.3,7.5
True,35.8,7.3,7.5
False,35.8,7.3,7.5
False,29.5,7.5,7.8
False,29.5,7.5,7.8
False,29.5,7.5,7.8
False,7.1,7.3,7.8
False,23.6,7.0,7.1
False,23.6,7.0,7.1
False,23.6,7.0,7.1
False,1.5,4.0,7.3
True,55.9,8.4,8.6
False,55.9,8.4,8.6
False,55.9,8.4,8.6
False,55.9,8.4,8.6
True,44.5,7.4,7.9
True,44.5,7.4,7.9
False,44.5,7.4,7.9
False,44.5,7.4,7.9
False,6.5,6.5,7.1
False,6.5,6.5,7.1
False,10.6,7.4,7.6
False,10.6,7.4,7.6
False,5.3,6.7,7.2
False,5.3,6.7,7.2
False,5.3,6.7,7.2
True,8.6,7.3,7.6
False,8.6,7.3,7.6
False,8.6,7.3,7.6
False,8.6,7.3,7.6
True,20.9,6.9,7.3
False,20.9,6.9,7.3
False,20.9,6.9,7.3
False,20.9,6.9,7.3
False,20.9,6.9,7.3
False,20.9,6.9,7.3
False,20.9,6.9,7.3
False,23.6,8.1,8.0
False,23.6,8.1,8.0
False,23.6,8.1,8.0
False,23.6,8.1,8.0
False,23.6,8.1,8.0
False,9.7,7.5,7.6
False,33.4,7.1,7.5
False,33.4,7.1,7.5
False,33.4,7.1,7.5
False,3.3,6.5,7.2
False,3.3,6.5,7.2
True,22.1,7.7,7.8
False,22.1,7.7,7.8
False,22.1,7.7,7.8
True,22.1,7.7,7.8
False,8.1,6.5,7.0
False,8.1,6.8,7.2
False,8.1,6.8,7.2
False,11.6,7.4,7.2
False,19.4,7.3,7.3
False,42.4,7.9,7.8
False,42.4,7.9,7.8
False,42.4,7.9,7.8
False,42.4,7.9,7.8
False,14.2,7.0,7.2
False,14.2,7.0,7.2
False,64.1,7.8,8.1
False,13.0,6.6,6.7
False,10.0,7.0,7.4
False,4.5,6.1,6.6
False,4.9,7.0,7.6
False,5.1,6.8,7.6
False,7.3,6.3,6.7
False,7.3,6.3,6.7
False,15.0,7.1,7.3
False,15.0,7.1,7.3
False,13.5,7.0,7.6
False,13.5,7.0,7.6
False,34.2,7.4,7.7
False,34.2,7.4,7.7
False,34.2,7.4,7.7
True,34.2,7.4,7.7
False,3.2,6.6,6.0
False,6.2,7.0,7.3
False,6.2,7.0,7.3
False,6.2,7.0,7.3
False,6.0,5.9,6.5
False,4.6,6.4,7.1
False,5.8,6.7,7.1
False,16.6,6.8,6.9
False,16.6,6.8,6.9
False,16.6,6.8,6.9
False,16.6,6.8,6.9
False,16.6,6.8,6.9
False,4.0,6.8,7.4
False,4.0,6.8,7.4
False,4.0,6.8,7.4
False,6.2,7.0,7.1
False,3.0,5.1,6.7
False,7.1,6.7,7.0
False,9.9,7.1,7.4
True,9.9,7.1,7.4
False,9.9,7.1,7.4
False,20.9,7.0,7.5
False,20.9,7.0,7.5
False,20.9,7.0,7.5
False,10.8,6.7,6.9
False,10.8,6.7,6.9
False,1.0,6.9,7.1
False,104.8,7.6,8.1
False,104.8,7.6,8.1
False,104.8,7.6,8.1
False,5.6,7.2,7.2
False,5.6,7.2,7.2
False,5.6,7.2,7.2
False,1.0,6.0,5.6
False,1.0,6.0,5.6
False,14.8,6.3,6.5
False,14.8,6.3,6.5
False,14.8,6.3,6.5
False,14.8,6.3,6.5
False,14.8,6.3,6.5
False,5.7,6.8,7.0
False,21.5,7.7,8.0
False,21.5,7.7,8.0
False,20.0,7.5,7.7
False,45.8,7.4,7.4
False,6.8,6.7,7.3
True,33.5,7.5,7.8
False,33.5,7.5,7.8
False,33.5,7.5,7.8
False,33.5,7.5,7.8
False,33.5,7.5,7.8
True,33.5,7.5,7.8
False,15.8,7.7,7.9
False,15.8,7.7,7.9
False,15.1,6.7,6.8
False,15.1,6.7,6.8
True,15.1,6.7,6.8
False,15.1,6.7,6.8
False,15.1,6.7,6.8
False,17.0,7.2,7.4
False,23.3,6.9,7.1
False,89.4,6.7,6.5
False,9.6,7.2,7.4
False,4.8,6.4,7.3
False,4.8,6.4,7.3
True,0.6,6.0,6.8
False,8.1,5.9,5.9
False,11.0,7.7,7.4
False,34.0,7.7,7.9
False,34.0,7.7,7.9
True,34.0,7.7,7.9
False,34.0,7.7,7.9
False,34.0,7.7,7.9
False,11.6,5.9,6.2
False,2.5,7.0,6.8
False,11.6,6.7,6.7
True,36.4,7.6,7.8
False,36.4,7.6,7.8
False,36.4,7.6,7.8
False,36.4,7.6,7.8
False,5.3,6.7,7.2
True,30.4,7.2,7.5
False,30.4,7.2,7.5
False,30.4,7.2,7.5
False,19.2,7.4,7.6
False,9.3,7.3,7.9
False,24.8,6.6,6.8
False,10.5,7.1,7.6
False,15.9,7.0,7.5
False,6.9,6.4,6.8
True,6.9,6.4,6.8
True,6.9,6.4,6.8
False,56.4,8.2,8.4
True,24.7,7.7,7.3
False,10.8,7.1,7.6
False,2.9,7.1,7.3
False,2.9,7.1,7.3
False,8.0,6.9,7.3
False,17.1,6.8,7.2
False,17.1,6.8,7.2
True,17.1,6.8,7.2
False,17.1,6.8,7.2
False,17.1,6.8,7.2
False,17.1,6.8,7.2
False,13.1,6.9,7.1
False,18.1,7.5,7.8
False,18.1,7.5,7.8
False,18.1,7.5,7.8
True,18.1,7.5,7.8
True,18.1,7.5,7.8
False,21.1,7.5,7.6
False,21.1,7.5,7.6
False,21.1,7.5,7.6
True,21.1,7.5,7.6
False,30.6,7.5,7.6
False,30.6,7.5,7.6
True,30.6,7.5,7.6
True,10.5,6.7,7.0
False,10.5,6.7,7.0
True,9.7,7.6,7.9
False,9.7,7.6,7.9
False,9.7,7.6,7.9
False,9.7,7.6,7.9
False,9.7,7.6,7.9
True,9.9,7.2,7.5
False,9.9,7.2,7.5
False,9.9,7.2,7.5
False,9.9,7.2,7.5
True,9.9,7.2,7.5
False,31.6,8.0,8.1
True,31.6,8.0,8.1
True,31.6,8.0,8.1
True,31.6,8.0,8.1
True,31.6,8.0,8.1
False,31.6,8.0,8.1
False,4.0,6.4,6.5
True,2.7,6.3,6.7
False,21.0,7.3,7.4
True,21.0,7.3,7.4
False,21.0,7.3,7.4
False,21.0,7.3,7.4
False,21.0,7.3,7.4
True,19.6,7.4,7.9
False,19.6,7.4,7.9
True,25.5,7.8,7.8
False,10.4,7.3,7.7
False,10.4,7.3,7.7
False,10.4,7.3,7.7
True,10.4,7.3,7.7
False,26.7,7.7,7.8
False,26.7,7.7,7.8
True,26.7,7.7,7.8
False,26.7,7.7,7.8
False,26.7,7.7,7.8
False,3.2,7.0,7.0
False,8.5,6.4,6.6
False,8.5,6.4,6.6
False,20.1,7.1,7.4
False,8.7,7.0,7.6
False,8.7,6.9,7.3
False,33.7,7.3,7.6
False,33.7,7.3,7.6
False,33.7,7.3,7.6
False,33.7,7.3,7.6
False,9.6,7.7,7.8
True,23.4,7.2,7.3
True,15.3,6.8,7.0
False,15.3,6.8,7.0
True,30.7,7.4,7.4
False,30.7,7.4,7.4
False,30.7,7.4,7.4
False,30.7,7.4,7.4
True,30.7,7.4,7.4
True,30.7,7.4,7.4
False,21.0,7.7,7.8
False,19.8,6.9,7.2
True,19.8,6.9,7.2
True,19.8,6.9,7.2
False,19.8,6.9,7.2
False,19.8,6.9,7.2
True,19.8,6.9,7.2
False,3.6,6.4,6.8
False,1.7,6.2,6.7
False,7.7,6.8,7.0
True,5.7,6.1,6.4
False,6.3,6.3,7.0
False,6.3,6.3,7.0
False,6.3,6.3,7.0
False,2.0,5.3,6.4
False,7.3,6.7,7.0
False,7.3,6.7,7.0
False,7.3,6.7,7.0
False,7.3,6.7,7.0
False,26.6,7.6,7.6
False,26.6,7.6,7.6
False,26.6,7.6,7.6
False,2.2,6.3,6.3
False,2.2,6.3,6.3
False,5.9,6.0,6.6
False,12.2,7.5,7.8
True,12.2,7.5,7.8
False,12.2,7.5,7.8
False,17.4,7.0,7.3
False,4.4,5.7,5.9
False,4.8,6.7,7.6
False,4.8,6.7,7.6
False,13.3,7.9,8.1
False,13.3,7.9,8.1
False,13.3,7.9,8.1
False,13.3,7.9,8.1
False,13.3,7.9,8.1
False,12.4,6.5,6.8
False,9.0,6.8,7.2
False,11.6,6.7,7.0
False,9.8,7.0,7.6
False,9.8,7.0,7.6
True,9.8,7.0,7.6
False,9.8,7.0,7.6
True,9.8,7.0,7.6
True,9.8,7.0,7.6
True,9.8,7.0,7.6
False,3.4,6.1,7.0
False,3.4,6.1,7.0
False,12.9,7.4,7.4
False,12.9,7.4,7.4
False,12.9,7.4,7.4
False,56.2,7.8,7.9
False,25.1,7.1,7.5
False,25.1,7.1,7.5
False,25.1,7.1,7.5
False,29.2,7.1,7.3
True,29.2,7.1,7.3
False,29.2,7.1,7.3
False,29.2,7.1,7.3
False,5.7,6.4,7.2
False,5.5,6.1,7.0
False,5.5,6.1,7.0
False,8.9,7.1,7.3
False,1.2,6.0,6.7
False,8.1,6.7,6.7
False,15.0,7.4,7.6
False,15.0,7.4,7.6
False,15.0,7.4,7.6
False,15.0,7.4,7.6
True,15.0,7.4,7.6
False,13.1,7.0,7.2
False,13.1,7.0,7.2
False,13.3,6.7,6.8
False,12.0,6.5,6.6
False,5.7,6.7,7.0
False,5.7,6.7,7.0
True,21.0,7.5,7.6
True,19.2,7.5,7.8
False,19.2,7.5,7.8
False,19.2,7.5,7.8
True,19.2,7.5,7.8
True,19.2,7.5,7.8
True,19.2,7.5,7.8
False,8.6,6.7,7.3
False,3.1,6.7,6.8
True,14.7,7.5,7.8
True,14.7,7.5,7.8
False,14.7,7.5,7.8
False,14.7,7.5,7.8
False,14.7,7.5,7.8
False,15.5,7.2,7.6
False,15.5,7.2,7.6
False,7.1,7.6,7.9
False,7.1,7.6,7.9
False,7.1,7.6,7.9
False,7.1,7.6,7.9
False,7.1,7.6,7.9
False,2.7,6.7,7.0
False,10.6,6.7,6.9
False,10.6,6.7,6.9
True,29.1,7.7,7.9
True,29.1,7.7,7.9
False,29.1,7.7,7.9
False,29.1,7.7,7.9
False,29.1,7.7,7.9
False,29.1,7.7,7.9
False,9.9,7.2,7.6
False,9.9,7.2,7.6
False,9.9,7.2,7.6
False,9.9,7.2,7.6
True,7.2,7.2,7.3
False,7.2,7.2,7.3
False,7.2,7.2,7.3
False,3.9,5.1,6.5
False,0.3,5.0,5.9
False,14.7,7.4,7.7
False,14.7,7.4,7.7
False,14.7,7.4,7.7
False,14.7,7.4,7.7
False,14.7,7.4,7.7
False,14.7,7.4,7.7
False,11.4,6.6,6.5
True,18.0,7.8,8.1
False,18.0,7.8,8.1
False,18.0,7.8,8.1
True,18.0,7.8,8.1
True,18.0,7.8,8.1
False,18.0,7.8,8.1
False,18.0,7.8,8.1
False,18.0,7.8,8.1
True,18.0,7.8,8.1
False,11.5,7.8,7.7
False,6.4,6.8,7.3
False,6.4,6.8,7.3
False,6.4,6.8,7.3
False,17.3,7.0,6.8
False,9.6,6.9,7.2
False,9.6,6.9,7.2
False,9.6,6.9,7.2
False,46.9,6.5,7.6
False,46.9,6.5,7.6
False,2.5,7.1,7.2
False,2.5,7.1,7.2
False,54.3,7.7,7.8
False,22.9,7.0,7.0
False,22.9,7.0,7.0
False,11.1,5.5,5.8
False,13.7,7.5,7.8
False,13.7,7.5,7.8
False,10.5,6.9,7.1
False,10.5,6.9,7.1
False,10.5,6.9,7.1
True,78.8,7.9,8.2
False,78.8,7.9,8.2
True,78.8,7.9,8.2
True,78.8,7.9,8.2
True,78.8,7.9,8.2
False,13.2,6.9,7.3
False,13.2,6.9,7.3
False,38.2,7.4,7.4
True,18.8,7.2,7.3
False,18.8,7.2,7.3
True,18.8,7.2,7.3
True,18.8,7.2,7.3
False,18.8,7.2,7.3
False,4.7,6.2,6.4
True,4.7,6.2,6.4
True,6.5,7.2,7.3
False,6.5,7.2,7.3
False,6.5,7.2,7.3
False,21.2,8.0,8.3
False,16.7,7.2,7.3
False,16.7,7.2,7.3
False,5.7,6.3,6.3
False,7.4,6.3,7.0
False,1515.7,6.6,7.6
False,19.3,7.1,7.4
False,19.3,7.1,7.4
False,19.3,7.1,7.4
False,17.5,7.7,7.9
False,17.5,7.7,7.9
False,11.2,7.3,7.9
False,11.2,7.3,7.9
False,13.0,7.1,7.1
False,13.0,7.1,7.1
False,19.5,7.3,7.7
False,19.5,7.3,7.7
False,6.1,6.5,7.0
False,2.6,5.8,6.8
False,6.3,7.3,7.8
False,6.3,7.3,7.8
False,11.4,6.6,7.0
False,17.3,7.0,7.4
False,17.3,7.0,7.4
False,17.3,7.0,7.4
True,17.3,7.0,7.4
True,17.3,7.0,7.4
True,10.9,7.2,7.6
True,10.9,7.2,7.6
False,10.9,7.2,7.6
False,10.9,7.2,7.6
False,10.9,7.2,7.6
False,10.9,7.2,7.6
True,10.9,7.2,7.6
True,22.9,7.9,8.1
False,22.9,7.9,8.1
False,22.9,7.9,8.1
False,22.9,7.9,8.1
True,22.9,7.9,8.1
True,22.9,7.9,8.1
True,22.9,7.9,8.1
True,22.9,7.9,8.1
False,63.7,7.4,7.6
True,63.7,7.4,7.6
False,63.7,7.4,7.6
False,63.7,7.4,7.6
False,63.7,7.4,7.6
False,63.7,7.4,7.6
True,40.8,8.4,8.7
False,40.8,8.4,8.7
True,40.8,8.4,8.7
False,40.8,8.4,8.7
True,40.8,8.4,8.7
True,40.8,8.4,8.7
True,40.8,8.4,8.7
False,4.2,6.5,7.0
False,1.4,6.4,6.7
False,14.1,7.0,7.1
False,14.1,7.0,7.1
False,4.2,5.5,5.6
False,4.2,5.5,5.6
False,4.2,5.5,5.6
False,3.8,6.4,7.0
False,1.0,6.8,7.4
False,12.7,6.5,6.9
False,13.1,6.7,7.1
False,14.9,7.5,7.9
False,7.9,7.3,7.6
False,2.4,6.0,6.4
False,2.4,6.0,6.4
False,2.4,6.0,6.4
False,11.2,7.2,7.3
False,3.9,5.7,5.9
True,130.7,8.1,8.3
True,130.7,8.1,8.3
False,130.7,8.1,8.3
True,130.7,8.1,8.3
True,130.7,8.1,8.3
True,130.7,8.1,8.3
False,130.7,8.1,8.3
False,2.6,6.4,7.0
False,2.6,6.4,7.0
False,2.6,6.4,7.0
False,2.6,6.4,7.0
False,2.6,6.4,6.7
False,3.6,5.8,6.5
False,3.6,5.8,6.5
False,16.0,7.2,7.1
False,16.0,7.2,7.1
True,16.0,7.2,7.1
True,16.0,7.2,7.1
True,16.0,7.2,7.1
True,16.0,7.2,7.1
False,16.3,6.7,7.0
False,13.7,7.4,7.5
True,62.8,7.8,8.2
False,62.8,7.8,8.2
False,10.9,7.9,8.1
True,10.9,7.9,8.1
False,26.2,6.8,7.1
True,109.9,8.5,8.5
True,109.9,8.5,8.5
True,109.9,8.5,8.5
False,12.5,6.7,7.1
False,4.9,6.8,7.3
False,4.9,6.8,7.3
False,41.3,7.7,7.8
False,41.3,7.7,7.8
True,13.7,7.5,8.0
False,13.7,7.5,8.0
True,13.7,7.5,8.0
True,13.7,7.5,8.0
False,8.8,6.1,6.4
False,8.8,6.1,6.4
False,8.6,7.3,7.7
False,5.4,6.1,6.5
False,6.9,6.6,7.0
False,4.9,6.1,6.0
False,2.6,5.5,6.3
False,2.6,6.1,6.5
False,8.1,6.7,7.2
False,8.1,6.7,7.2
False,8.1,6.7,7.2
False,8.1,6.7,7.2
False,8.1,6.7,7.2
False,8.1,6.7,7.2
False,8.1,6.7,7.2
False,8.1,6.7,7.2
True,9.0,6.2,6.4
False,21.5,7.3,7.4
False,21.5,7.3,7.4
False,21.5,7.3,7.4
False,21.5,7.3,7.4
True,23.1,7.7,7.7
False,23.1,7.7,7.7
False,13.4,7.4,7.6
False,13.4,7.4,7.6
False,13.4,7.4,7.6
False,9.1,7.4,7.6
False,18.3,7.0,7.0
False,7.3,6.5,7.0
False,2.2,6.0,6.1
False,14.3,7.1,7.4
False,14.3,7.1,7.4
True,14.3,7.1,7.4
False,5.3,7.1,7.2
False,5.3,7.1,7.2
False,5.3,7.1,7.2
False,147.7,7.8,8.1
False,8.9,7.2,7.4
True,8.9,7.2,7.4
False,8.9,7.2,7.4
False,8.9,7.2,7.4
False,8.9,7.2,7.4
True,8.9,7.2,7.4
False,44.5,7.7,8.1
False,44.5,7.7,8.1
False,44.5,7.7,8.1
True,44.5,7.7,8.1
True,44.5,7.7,8.1
False,44.5,7.7,8.1
False,11.2,7.3,7.1
False,9.4,6.7,7.0
True,9.4,6.7,7.0
False,77.5,7.7,7.8
True,77.5,7.7,7.8
False,77.5,7.7,7.8
False,77.5,7.7,7.8
False,77.5,7.7,7.8
False,77.5,7.7,7.8
False,3.7,6.1,7.2
False,7.4,7.1,7.6
False,6.6,6.8,7.1
False,8.6,6.6,6.7
False,21.0,7.3,7.3
True,21.0,7.3,7.3
False,21.0,7.3,7.3
False,21.0,7.3,7.3
True,21.0,7.3,7.3
False,68.5,7.5,7.1
False,77.8,8.1,7.8
False,23.1,7.7,7.7
False,10.6,6.3,6.7
False,10.6,6.3,6.7
False,4.0,6.5,6.8
False,3.4,6.0,6.9
False,8.8,7.0,7.4
True,2.0,6.4,6.7
False,85.5,8.1,8.2
False,10.8,5.9,6.2
False,10.8,5.9,6.2
False,10.8,5.9,6.2
False,1.5,5.9,6.4
False,8.9,6.4,6.7
False,8.9,6.4,6.7
True,8.9,6.4,6.7
False,8.9,6.4,6.7
False,8.9,6.4,6.7
False,8.9,6.4,6.7
False,24.3,7.4,7.5
False,24.3,7.4,7.5
False,24.3,7.4,7.5
True,24.3,7.4,7.5
False,45.7,8.4,8.5
False,45.7,8.4,8.5
False,45.7,8.4,8.5
False,120.3,8.5,8.9
False,120.3,8.5,8.9
False,120.3,8.5,8.9
False,120.3,8.5,8.9
False,120.3,8.5,8.9
True,120.3,8.5,8.9
False,7.4,7.0,7.7
False,7.4,7.0,7.7
False,7.4,7.0,7.7
False,5.3,6.5,6.7
False,15.4,7.1,7.2
False,12.4,7.3,7.5
False,12.4,7.3,7.5
False,12.4,7.3,7.5
False,12.4,7.3,7.5
False,15.6,7.1,7.1
False,15.6,7.1,7.1
False,15.6,7.1,7.1
False,15.6,7.1,7.1
False,11.2,6.7,7.0
False,9.1,6.3,6.7
False,5.6,6.6,7.2
False,5.6,6.6,7.2
False,5.6,6.6,7.2
False,8.9,7.0,7.4
False,8.7,7.0,7.3
False,8.7,7.0,7.3
False,8.7,7.0,7.3
False,8.7,7.0,7.3
False,1520.3,7.9,8.4
False,1520.3,7.9,8.4
False,1520.3,7.9,8.4
True,29.2,7.8,8.0
False,29.2,7.8,8.0
True,29.2,7.8,8.0
True,29.2,7.8,8.0
True,29.2,7.8,8.0
False,5.1,6.4,6.3
False,6.4,6.2,6.6
False,6.4,6.2,6.6
False,24.7,8.1,8.2
False,24.7,8.1,8.2
False,9.3,7.3,7.9
False,9.3,7.3,7.9
False,9.3,7.3,7.9
False,143.8,7.8,8.1
True,18.5,7.4,7.7
False,18.5,7.4,7.7
False,18.5,7.4,7.7
False,8.1,6.4,6.6
False,31.2,8.4,8.5
False,31.2,8.4,8.5
False,21.2,7.9,8.1
False,21.2,7.9,8.1
False,21.2,7.9,8.1
True,21.2,7.9,8.1
False,21.2,7.9,8.1
True,21.2,7.9,8.1
False,24.0,7.9,8.1
False,24.0,7.9,8.1
False,24.0,7.9,8.1
False,13.0,6.9,7.3
False,13.0,6.9,7.3
False,13.0,6.9,7.3
True,13.0,6.9,7.3
True,13.0,6.9,7.3
True,13.0,6.9,7.3
False,13.0,6.9,7.3
False,13.0,6.9,7.3
False,19.7,8.0,8.3
False,3.3,6.5,7.1
False,3.3,6.5,7.1
False,1.1,6.5,6.8
False,1.1,6.5,6.8
False,1.9,6.8,6.0
True,12.7,6.7,7.2
False,12.7,6.7,7.2
False,12.7,6.7,7.2
False,34.2,7.0,7.3
False,7.2,7.1,7.4
False,17.7,7.4,7.5
False,5.2,7.2,7.2
False,4.3,6.9,7.0
False,20.3,7.4,7.7
True,20.3,7.4,7.7
False,4.5,6.6,7.1
False,13.7,6.7,6.9
False,51.3,7.8,8.1
False,51.3,7.8,8.1
False,51.3,7.8,8.1
False,51.3,7.8,8.1
True,51.3,7.8,8.1
True,51.3,7.8,8.1
False,51.3,7.8,8.1
False,3.6,5.3,6.6
False,15.9,7.6,7.7
False,15.9,7.6,7.7
True,15.9,7.6,7.7
True,15.9,7.6,7.7
False,15.9,7.6,7.7
False,15.9,7.6,7.7
False,26.8,7.9,8.0
True,26.8,7.9,8.0
False,26.8,7.9,8.0
False,26.8,7.9,8.0
False,26.8,7.9,8.0
False,18.4,6.3,6.5
False,2.9,6.3,5.7
False,2.9,6.3,5.7
False,6.9,6.2,6.5
False,6.9,6.2,6.5
False,6.9,6.2,6.5
True,20.9,7.4,7.6
False,20.9,7.4,7.6
False,20.9,7.4,7.6
True,19.7,8.0,8.1
False,19.7,8.0,8.1
False,19.7,8.0,8.1
